,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
34,11,2016,2,7,11,3,5,2,1,1,0,0,0,0,0,0,8.786797304,53.074498301,Neustadt,Alte Neustadt,POINT (8.786797304 53.074498301)
35,11,2016,2,6,14,3,0,3,1,0,0,0,0,1,0,0,8.79107263,53.074420376,Neustadt,Alte Neustadt,POINT (8.79107263 53.074420376)
36,11,2016,2,6,19,3,0,7,1,0,0,0,0,0,2,0,8.807321527,53.082164217,Mitte,Bahnhofsvorstadt,POINT (8.807321526999999 53.082164217)
37,11,2016,2,6,5,3,5,3,1,0,0,0,0,0,2,1,8.81582281,53.07446082,Mitte,Ostertor,POINT (8.81582281 53.07446082)
38,11,2016,2,6,12,2,0,1,1,0,0,0,0,0,0,0,8.870184272,53.102140597,Horn-Lehe,Lehe,POINT (8.870184271999999 53.102140597)
39,11,2016,3,4,7,3,5,3,1,1,0,0,0,0,0,1,8.634113944,53.182703527,Vegesack,Schönebeck,POINT (8.634113943999999 53.182703527)
40,11,2016,2,2,10,3,0,1,1,0,0,0,0,0,0,1,8.770262255,53.072310781,Woltmershausen,Woltmershausen,POINT (8.770262255 53.072310781)
41,11,2016,2,5,7,3,0,1,1,0,0,0,0,0,0,2,8.930578089,53.068736191,Osterholz,Ellener Feld,POINT (8.930578089000001 53.068736191)
42,11,2016,2,2,18,2,5,3,1,1,0,0,0,0,2,1,8.807356073,53.082339261,Mitte,Bahnhofsvorstadt,POINT (8.807356072999999 53.082339261)
43,12,2016,2,2,16,3,6,7,1,0,1,0,0,0,0,0,8.592278328,53.51639085,Wulsdorf,Geestemünde-Süd,POINT (8.592278328000001 53.51639085)
44,11,2016,2,5,10,3,5,2,1,0,0,0,1,0,0,0,8.831329483,53.081265913,Schwachhausen,Barkhof,POINT (8.831329482999999 53.081265913)
45,11,2016,2,5,12,3,0,5,1,1,0,0,0,0,0,0,8.802581332,53.067373306,Neustadt,Buntentor,POINT (8.802581332000001 53.067373306)
46,11,2016,1,1,4,3,0,1,1,0,0,0,0,0,2,1,8.808464617,53.088079479,Findorff,Findorff-Bürgerweide,POINT (8.808464617 53.088079479)
47,11,2016,3,5,16,2,0,7,1,0,0,0,0,1,0,0,8.621389276,53.172071218,Vegesack,Vegesack,POINT (8.621389276 53.172071218)
